Date;200WMA
2024-10-08 00:00:00+00:00;39985.1504296875
2024-10-15 00:00:00+00:00;40212.77247070312
2024-10-22 00:00:00+00:00;40421.05748046875
2024-10-29 00:00:00+00:00;40600.85294921875
2024-11-05 00:00:00+00:00;40811.4416796875
2024-11-12 00:00:00+00:00;41081.71455078125
2024-11-19 00:00:00+00:00;41410.3367578125
2024-11-26 00:00:00+00:00;41731.16390625
2024-12-03 00:00:00+00:00;42042.82677734375
2024-12-10 00:00:00+00:00;42320.73380859375
2024-12-17 00:00:00+00:00;42508.55876953125
2024-12-24 00:00:00+00:00;42750.5210546875
2024-12-31 00:00:00+00:00;42986.06240234375
2025-01-07 00:00:00+00:00;43161.9930078125
2025-01-14 00:00:00+00:00;43379.8239453125
2025-01-21 00:00:00+00:00;43613.48271484375
2025-01-28 00:00:00+00:00;43808.13482421875
2025-02-04 00:00:00+00:00;43989.61046875
2025-02-11 00:00:00+00:00;44189.40470703125
2025-02-18 00:00:00+00:00;44425.753046875
2025-02-25 00:00:00+00:00;44613.8394140625
2025-03-04 00:00:00+00:00;44725.68302734375
2025-03-11 00:00:00+00:00;44906.301171875
2025-03-18 00:00:00+00:00;45162.72013671875
2025-03-25 00:00:00+00:00;45396.002109375
2025-04-01 00:00:00+00:00;45607.76263671875
2025-04-08 00:00:00+00:00;45830.69822265625
2025-04-15 00:00:00+00:00;46078.07826171875
2025-04-22 00:00:00+00:00;46373.6042578125
2025-04-29 00:00:00+00:00;46668.745234375
2025-05-06 00:00:00+00:00;47018.07609375
2025-05-13 00:00:00+00:00;47391.32208007813
2025-05-20 00:00:00+00:00;47759.74809570312
2025-05-27 00:00:00+00:00;48088.13413085938
2025-06-03 00:00:00+00:00;48398.111787109374
2025-06-10 00:00:00+00:00;48690.63688476563
2025-06-17 00:00:00+00:00;48948.964326171874
2025-06-24 00:00:00+00:00;49246.74301757813
2025-07-01 00:00:00+00:00;49534.13631835938
2025-07-08 00:00:00+00:00;49899.40055664063
2025-07-15 00:00:00+00:00;50249.603408203126
2025-07-22 00:00:00+00:00;50630.80317382813
2025-07-29 00:00:00+00:00;50960.89176757813
2025-08-05 00:00:00+00:00;51283.567666015624
2025-08-12 00:00:00+00:00;51563.06489257813
2025-08-19 00:00:00+00:00;51825.70286132812
2025-08-26 00:00:00+00:00;52060.29163085938
2025-09-02 00:00:00+00:00;52299.49477539062
2025-09-09 00:00:00+00:00;52549.19885742188
2025-09-16 00:00:00+00:00;52832.076943359374
2025-09-23 00:00:00+00:00;53106.447861328124
2025-09-30 00:00:00+00:00;53477.171005859374
2025-10-07 00:00:00+00:00;53802.52815429687
2025-10-14 00:00:00+00:00;54112.326630859374
2025-10-21 00:00:00+00:00;54430.64127929688
2025-10-28 00:00:00+00:00;54747.113310546876
2025-11-04 00:00:00+00:00;55061.15350585937
2025-11-11 00:00:00+00:00;55316.46950195313
2025-11-18 00:00:00+00:00;55569.11051757813
2025-11-25 00:00:00+00:00;55831.494072265625
2025-12-02 00:00:00+00:00;56071.46010742187
2025-12-09 00:00:00+00:00;56301.348427734374
2025-12-16 00:00:00+00:00;56552.30028320313
2025-12-23 00:00:00+00:00;56802.93053710937
2025-12-30 00:00:00+00:00;57067.89807617188
2026-01-06 00:00:00+00:00;57332.78706054688
2026-01-13 00:00:00+00:00;57594.72008789062
2026-01-20 00:00:00+00:00;57793.478720703126
2026-01-27 00:00:00+00:00;57946.083115234374
2026-02-03 00:00:00+00:00;58086.36838867187
2026-02-10 00:00:00+00:00;58231.72456054688
2026-02-17 00:00:00+00:00;58372.675048828125
2026-02-24 00:00:00+00:00;58509.020087890625
2026-03-03 00:00:00+00:00;58668.57266601562
2026-03-10 00:00:00+00:00;58875.99666992188
2026-03-17 00:00:00+00:00;59063.604111328124
2026-03-24 00:00:00+00:00;59246.14893554687
2026-03-31 00:00:00+00:00;59441.5251171875
2026-04-07 00:00:00+00:00;59661.47890625
2026-04-14 00:00:00+00:00;59927.99430664063
2026-04-21 00:00:00+00:00;60216.14552734375
2026-04-28 00:00:00+00:00;60512.351279296876
2026-05-05 00:00:00+00:00;60818.743681640626
2026-05-12 00:00:00+00:00;61101.993720703125
2026-05-19 00:00:00+00:00;61373.85352539062
2026-05-26 00:00:00+00:00;61625.06748046875
2026-06-02 00:00:00+00:00;61825.385625
2026-06-09 00:00:00+00:00;62032.34094726563
2026-06-16 00:00:00+00:00;62240.85803710938
2026-06-23 00:00:00+00:00;62440.4356640625
2026-06-30 00:00:00+00:00;62658.24151367188
2026-07-07 00:00:00+00:00;62868.186328125
2026-07-14 00:00:00+00:00;63094.54282226563
2026-07-21 00:00:00+00:00;63327.23383789063
2026-07-28 00:00:00+00:00;63549.42330078125
2026-08-04 00:00:00+00:00;63776.41560546875
2026-08-11 00:00:00+00:00;63999.62806640625
2026-08-12 08:05:28+00:00;64221.88841796875
